> CRF
120.6185 22.5918 5.8802
120.6193 22.5895 5.8802
120.6194 22.5873 5.8802
120.6195 22.5850 5.8802
120.6197 22.5827 5.8802
120.6198 22.5804 5.8802
120.6199 22.5781 5.8802
120.6200 22.5758 5.8802
120.6201 22.5735 5.8802
120.6202 22.5712 5.8802
120.6203 22.5689 5.8802
120.6204 22.5667 5.8802
120.6205 22.5644 5.8802
120.6206 22.5621 5.8802
120.6207 22.5598 5.8802
120.6208 22.5575 5.8802
120.6209 22.5552 5.8802
120.6211 22.5529 5.8802
120.6212 22.5506 5.8802
120.6213 22.5483 5.8802
120.6214 22.5461 5.8802
120.6215 22.5438 5.8802
120.6214 22.5415 5.8802
120.6213 22.5391 5.8802
120.6213 22.5368 5.8802
120.6212 22.5345 5.8802
120.6211 22.5322 5.8802
120.6210 22.5299 5.8802
120.6210 22.5276 5.8802
120.6209 22.5253 5.8802
120.6208 22.5230 5.8802
120.6208 22.5207 5.8802
120.6207 22.5184 5.8802
120.6206 22.5161 5.8802
120.6205 22.5138 5.8802
120.6205 22.5115 5.8802
120.6204 22.5092 5.8802
120.6203 22.5068 5.8802
120.6202 22.5045 5.8802
120.6202 22.5022 5.8802
120.6201 22.4999 5.8802
120.6200 22.4976 5.8802
120.6196 22.4954 5.8802
120.6191 22.4931 5.8802
120.6186 22.4909 5.8802
120.6182 22.4887 5.8802
120.6177 22.4864 5.8802
120.6172 22.4842 5.8802
120.6168 22.4820 5.8802
120.6163 22.4797 5.8802
120.6158 22.4775 5.8802
120.6153 22.4753 5.8802
120.6149 22.4730 5.8802
120.6144 22.4708 5.8802
120.6139 22.4685 5.8802
120.6135 22.4663 5.8802
120.6130 22.4641 5.8802
120.6125 22.4618 5.8802
120.6121 22.4596 5.8802
120.6116 22.4574 5.8802
120.6111 22.4551 5.8802
120.6107 22.4529 5.8802
120.6108 22.4505 5.8802
120.6108 22.4482 5.8802
120.6109 22.4458 5.8802
120.6110 22.4435 5.8802
120.6111 22.4412 5.8802
120.6112 22.4388 5.8802
120.6113 22.4365 5.8802
